source,lang,expression,head,modifier,label,compositionality_score,compositionality_type,compositionality_token,raw_paraphrase,original_split,row_id,label_raw,label_norm,label_binary,contribution_label,compositionality_score_norm,compositionality_bin,paraphrase_candidates_maggie,wordnet_synonyms,wordnet_synonym1,paraphrase1_gpt55pro20260423,paraphrase1_gpt5nano20250807,canonical_paraphrase,paraphrase_candidates,has_paraphrase,split_701020,split_source
nc,eng,busy bee,bee,busy,,0.6818,,,go getter(5);busy person(5);busy body(5);busy beaver(3);hard worker(3);busy(2);doer(2);energetic person(1);always moving(1);occupied(1);tasked(1);busy worker(1);popular(1);drone(1);slave(1);workaholic(1);hyper(1);busybody(1);always busy(1);industrious person(1);snoop(1);sociable person(1);nosy(1);hardworker(1);dynamo(1);active person(1);eager beaver(1);busy productive person(1);someone who moves around(1);being overactive(1);nonstop(1);preoccupied person(1);worker(1),,10,,UNKNOWN,UNKNOWN,UNKNOWN,0.1363599999999999,low,eager beaver|live wire|sharpie|sharpy|industrious|workaholic,eager beaver|live wire|sharpie|sharpy,eager beaver,industrious,workaholic,eager beaver,eager beaver|live wire|sharpie|sharpy|industrious|workaholic|go getter|busy person|busy body|busy beaver|hard worker|busy|doer|energetic person|always moving|occupied|tasked|busy worker|popular|drone|slave|hyper|busybody|always busy|industrious person|snoop|sociable person|nosy|hardworker|dynamo|active person|busy productive person|someone who moves around|being overactive|nonstop|preoccupied person|worker,1,train,generated
nc,eng,carpet bombing,bombing,carpet,,1.0,,,blanket bombing(3);intense bombing(3);indiscriminate bombing(2);area bombing(2);dense bombing(1);devastating attack(1);terrorist attack(1);missle raid(1);bomb drop(1);mass bombing(1);massive bombing(1);firestorm(1);airstrike(1);scattering(1);air strike(1);air support(1);complete destruction(1);total annihilation(1);non targeted bombing(1);continual bombing(1);aerial bombing(1);large bombing(1);air artillery(1);saturation bombing(1);bomb dropping(1);bombing(1);thorough bombing(1);location bombing(1),,11,,UNKNOWN,UNKNOWN,UNKNOWN,0.2,low,area bombing|saturation bombing|carpet bomb|bombardment,area bombing|saturation bombing|carpet bomb,area bombing,bombardment,bombardment,area bombing,area bombing|saturation bombing|carpet bomb|bombardment|blanket bombing|intense bombing|indiscriminate bombing|dense bombing|devastating attack|terrorist attack|missle raid|bomb drop|mass bombing|massive bombing|firestorm|airstrike|scattering|air strike|air support|complete destruction|total annihilation|non targeted bombing|continual bombing|aerial bombing|large bombing|air artillery|bomb dropping|bombing|thorough bombing|location bombing,1,train,generated
nc,eng,cellular phone,phone,cellular,,4.2,,,mobile phone(7);cell phone(4);smart phone(4);cell(3);cellphone(3);wireless phone(2);portable phone(1);individual phone(1);mobile device(1);electronic accessory(1);telephone(1);smartphone(1);iphone(1);phone(1);talking(1);texting(1);mobile(1);cellular device(1),,12,,UNKNOWN,UNKNOWN,UNKNOWN,0.8400000000000001,high,cellular telephone|cellphone|cell|mobile phone,cellular telephone|cellphone|cell|mobile phone,cellular telephone,cellphone,cellphone,cellular telephone,cellular telephone|cellphone|cell|mobile phone|cell phone|smart phone|wireless phone|portable phone|individual phone|mobile device|electronic accessory|telephone|smartphone|iphone|phone|talking|texting|mobile|cellular device,1,train,generated
nc,eng,close call,call,close,,1.4667,,,near miss(6);narrow escape(4);close shave(3);almost happened(2);near death(2);close(1);nearby(1);tight(1);cutting it close(1);almost happening(1);close to happening(1);narrow exscape(1);almost turned bad(1);accident(1);near death experience(1);immediate shave(1);close one(1);near squeak(1);tight squeeze(1);cliffhanger(1);wake up call(1);close escape(1);scary situation(1);hard to decide(1);near(1),,13,,UNKNOWN,UNKNOWN,UNKNOWN,0.29334,low,close shave|squeak|squeaker|narrow escape|nearmiss,close shave|squeak|squeaker|narrow escape,close shave,squeaker,nearmiss,close shave,close shave|squeak|squeaker|narrow escape|nearmiss|near miss|almost happened|near death|close|nearby|tight|cutting it close|almost happening|close to happening|narrow exscape|almost turned bad|accident|near death experience|immediate shave|close one|near squeak|tight squeeze|cliffhanger|wake up call|close escape|scary situation|hard to decide|near,1,train,generated
nc,eng,closed book,book,closed,,0.2667,,,mystery(6);unknown(5);riddle(2);enigma(2);inaccessible(1);off limits(1);unattainable(1);not understandable(1);ignorance(1);no knowledge(1);closed case(1);done deal(1);unreadable(1);inscrutible(1);unfathomable(1);tough nut(1);tight lipped(1);solid case(1);impenetrable subject(1);puzzle(1);closed minded(1);ignorant(1);unfamiliar(1);inaccessible subject(1),,14,,UNKNOWN,UNKNOWN,UNKNOWN,0.05334,low,mystery|enigma|secret,mystery|enigma|secret,mystery,mystery,enigma,mystery,mystery|enigma|secret|unknown|riddle|inaccessible|off limits|unattainable|not understandable|ignorance|no knowledge|closed case|done deal|unreadable|inscrutible|unfathomable|tough nut|tight lipped|solid case|impenetrable subject|puzzle|closed minded|ignorant|unfamiliar|inaccessible subject,1,train,generated
nc,eng,computer program,program,computer,,4.8125,,,software(7);application(6);computer software(3);code(2);operating system(2);computer application(1);instructions(1);software program(1);hardware program(1);computer operating process(1);algorythm(1);system(1);program(1);patch(1);algorithm(1);command(1);digital code(1);executable file(1);computer codes(1);programmed to work a certain way(1);app(1);computer game(1);disk(1),,15,,UNKNOWN,UNKNOWN,UNKNOWN,0.9625,high,program|programme|computer programme|software,program|programme|computer programme,program,software,software,program,program|programme|computer programme|software|application|computer software|code|operating system|computer application|instructions|software program|hardware program|computer operating process|algorythm|system|patch|algorithm|command|digital code|executable file|computer codes|programmed to work a certain way|app|computer game|disk,1,dev,generated
nc,eng,con artist,artist,con,,1.9474,,,con man(10);criminal(5);scammer(4);thief(4);trickster(3);scam artist(2);swindler(2);liar(2);conman(1);great actor(1);manipulator(1);crook(1);fraud(1);theif(1);forger(1);sting man(1);malcontent(1);grifter(1);hustler(1);deceit artist(1),,16,,UNKNOWN,UNKNOWN,UNKNOWN,0.38948,mid,confidence man|con man|swindler|fraudster,confidence man|con man,confidence man,swindler,fraudster,confidence man,confidence man|con man|swindler|fraudster|criminal|scammer|thief|trickster|scam artist|liar|conman|great actor|manipulator|crook|fraud|theif|forger|sting man|malcontent|grifter|hustler|deceit artist,1,train,generated
nc,eng,cooking stove,stove,cooking,,4.8,,,stove(7);oven(5);range(3);cook top(2);electric stove(2);burners(2);cook stove(1);stove oven(1);cooking device(1);crock pot(1);stovetop(1);cooking top(1);stove top(1);gas stove(1);dutch oven(1);cooking oven(1);kitchen stove(1);portable stove(1);kitchen cooktop(1);burner(1);cooker(1),,17,,UNKNOWN,UNKNOWN,UNKNOWN,0.96,high,stove|kitchen stove|range|kitchen range,stove|kitchen stove|range|kitchen range,stove,stove,stove,stove,stove|kitchen stove|range|kitchen range|oven|cook top|electric stove|burners|cook stove|stove oven|cooking device|crock pot|stovetop|cooking top|stove top|gas stove|dutch oven|cooking oven|portable stove|kitchen cooktop|burner|cooker,1,train,generated
nc,eng,cotton candy,candy,cotton,,1.6111,,,spun sugar(8);candy floss(5);fairy floss(2);pink fluff(2);confection(2);fluffy candy(2);candy puff(1);sugar clouds.(1);fluffed sugar(1);sweets(1);treat(1);dessert(1);sugary food(1);confection treat(1);cloud candy(1);sugar on stick(1);simple treats(1);spun candy(1);cotton ball candy(1);sugary treat(1);soft candy(1);sugar wool(1);fluffy confection(1);cottony soft candy(1),,18,,UNKNOWN,UNKNOWN,UNKNOWN,0.32222,low,spun sugar|candyfloss|fluff,spun sugar|candyfloss,spun sugar,candyfloss,fluff,spun sugar,spun sugar|candyfloss|fluff|candy floss|fairy floss|pink fluff|confection|fluffy candy|candy puff|sugar clouds.|fluffed sugar|sweets|treat|dessert|sugary food|confection treat|cloud candy|sugar on stick|simple treats|spun candy|cotton ball candy|sugary treat|soft candy|sugar wool|fluffy confection|cottony soft candy,1,train,generated
nc,eng,critical review,review,critical,,4.25,,,critique(5);critical analysis(2);thorough review(2);analysis(2);examination(2);important review(1);critical cover(1);critical judgment(1);text evaluation(1);grading(1);scholarly review(1);academic review(1);tough review(1);in depth look(1);critic's opinion(1);negative review(1);criticism(1);review(1);study review(1);thoughtful review(1);meaningful summary(1);peer review(1);assesment(1);intense scrutiny(1);critical assessment(1);analytical review(1);thorough assesment(1);take a close look at(1);report(1),,19,,UNKNOWN,UNKNOWN,UNKNOWN,0.85,high,review|critique|review article,review|critique|review article,review,critique,critique,review,review|critique|review article|critical analysis|thorough review|analysis|examination|important review|critical cover|critical judgment|text evaluation|grading|scholarly review|academic review|tough review|in depth look|critic's opinion|negative review|criticism|study review|thoughtful review|meaningful summary|peer review|assesment|intense scrutiny|critical assessment|analytical review|thorough assesment|take a close look at|report,1,train,generated
nc,eng,dead end,end,dead,,1.1111,,,no outlet(6);cul de sac(4);impasse(1);blockage(1);end of the line(1);closed off(1);end of road(1);without an outlet(1);road with one end(1);one way road(1);no other street(1);end(1);close(1);street ends(1);blocked in(1);ending(1);road's end(1);one way(1);point of no return(1);standstill(1);checkmate(1);roadblock(1);blind alley(1);roads end(1);impenetrable(1);no access(1);road block(1);end of the road(1);road end(1);dud(1);dead lead(1);no exit(1),,20,,UNKNOWN,UNKNOWN,UNKNOWN,0.22222,low,cul|cul de sac|deadlock|impasse|stalemate|standstill,cul|cul de sac|deadlock|impasse|stalemate|standstill,cul,impasse,impasse,cul,cul|cul de sac|deadlock|impasse|stalemate|standstill|no outlet|blockage|end of the line|closed off|end of road|without an outlet|road with one end|one way road|no other street|end|close|street ends|blocked in|ending|road's end|one way|point of no return|checkmate|roadblock|blind alley|roads end|impenetrable|no access|road block|end of the road|road end|dud|dead lead|no exit,1,test,generated
nc,eng,dirty money,money,dirty,,2.1765,,,"drug money(4);ill gotten gains(2);money obtained illegally(2);criminal money(2);stolen(2);stolen money(2);laundered money(1);illegal profit(1);crime money(1);criminally earned cash(1);illegally gained money(1);felonious profits(1);illegal money(1);hidden funds(1);illegal gains(1);ill got gains(1);money laundering(1);ponzi scheme(1);bad money(1);loot(1);dirty funds(1);unlawful money(1);dirty, as in tainted(1);bribe(1);pilfered funds(1);unethical money(1);ill gained(1);illegally earned tender(1);embezzled(1);unearned money(1);corrupt money(1);stolen property(1);earned illegally(1);counterfeit money(1)",,21,,UNKNOWN,UNKNOWN,UNKNOWN,0.4352999999999999,mid,loot|booty|pillage|plunder|prize|swag|illicit,loot|booty|pillage|plunder|prize|swag,loot,loot,illicit,loot,"loot|booty|pillage|plunder|prize|swag|illicit|drug money|ill gotten gains|money obtained illegally|criminal money|stolen|stolen money|laundered money|illegal profit|crime money|criminally earned cash|illegally gained money|felonious profits|illegal money|hidden funds|illegal gains|ill got gains|money laundering|ponzi scheme|bad money|dirty funds|unlawful money|dirty, as in tainted|bribe|pilfered funds|unethical money|ill gained|illegally earned tender|embezzled|unearned money|corrupt money|stolen property|earned illegally|counterfeit money",1,train,generated
nc,eng,dirty word,word,dirty,,2.4762,,,curse word(7);bad word(4);cuss word(4);taboo(4);swear word(3);profanity(3);foul language(3);cursing(2);bad language(1);expletive(1);words not said(1);word you don't want to mention(1);gross word(1);insult(1);expletitive(1);curse(1);inappropriate language(1);gutter talk(1);bad words(1);swer word(1);taboo subject(1);unpleasant option(1);curse words(1);off limits(1);off limit word(1);unattractive word(1);profainity(1);obscene(1);bad worse(1);naughty word(1);inappropriate word(1);swear(1),,22,,UNKNOWN,UNKNOWN,UNKNOWN,0.49524,mid,obscenity|smut|vulgarism|filth|profanity,obscenity|smut|vulgarism|filth,obscenity,obscenity,profanity,obscenity,obscenity|smut|vulgarism|filth|profanity|curse word|bad word|cuss word|taboo|swear word|foul language|cursing|bad language|expletive|words not said|word you don't want to mention|gross word|insult|expletitive|curse|inappropriate language|gutter talk|bad words|swer word|taboo subject|unpleasant option|curse words|off limits|off limit word|unattractive word|profainity|obscene|bad worse|naughty word|inappropriate word|swear,1,test,generated
nc,eng,disc jockey,jockey,disc,,1.1111,,,dj(9);music player(2);entertainer(2);dee jay(1);disc scratcher(1);broadcaster(1);presenter(1);announces music played(1);music radio host(1);record player(1);music spinner(1);record spinner(1);artist(1);musician(1);person who plays music(1);mc(1);radio station employee(1);radio performer(1);disc spinner(1);party(1);music(1);deejay(1);spin doctor(1);mastet of ceremony(1);emcee(1);master of ceremonies(1);music host(1);music playing host(1);music mixing proffesional(1);host(1);dic spinner(1);music maker(1),,23,,UNKNOWN,UNKNOWN,UNKNOWN,0.22222,low,disk jockey|dj|deejay,disk jockey|dj,disk jockey,deejay,deejay,disk jockey,disk jockey|dj|deejay|music player|entertainer|dee jay|disc scratcher|broadcaster|presenter|announces music played|music radio host|record player|music spinner|record spinner|artist|musician|person who plays music|mc|radio station employee|radio performer|disc spinner|party|music|spin doctor|mastet of ceremony|emcee|master of ceremonies|music host|music playing host|music mixing proffesional|host|dic spinner|music maker,1,test,generated
nc,eng,divine service,service,divine,,3.4667,,,church service(8);mass(5);religious service(3);eucharistic liturgy(2);worship(2);divine calling(1);worship service(1);religious meeting(1);spiritual meeting(1);christian cult(1);serving of god(1);prayer service(1);church(1);ceremony(1);sermon(1);worshipping for god(1);gathering of christians(1);easter service(1);lutheran eucharist mass(1),,24,,UNKNOWN,UNKNOWN,UNKNOWN,0.69334,high,service|religious service|worship,service|religious service,service,worship,worship,service,service|religious service|worship|church service|mass|eucharistic liturgy|divine calling|worship service|religious meeting|spiritual meeting|christian cult|serving of god|prayer service|church|ceremony|sermon|worshipping for god|gathering of christians|easter service|lutheran eucharist mass,1,test,generated
nc,eng,dry land,land,dry,,4.0526,,,land(4);soil(3);ground(3);earth(3);dry ground(2);arid land(2);not water(2);dessert(2);dry earth(1);land without water(1);turf(1);surface(1);continent(1);not wet land(1);dry area(1);landlocked area(1);desert(1);dry terrain(1);island(1);shore line(1);high and dry(1);shore(1);dry dock(1);dessert land(1);cracked land(1);terrestrial(1);unfarmable land(1);not in water(1);on the ground(1);terrain(1);dry environment(1);dry habitat(1),,25,,UNKNOWN,UNKNOWN,UNKNOWN,0.81052,high,land|earth|ground|solid ground|terra firma,land|earth|ground|solid ground|terra firma,land,land,land,land,land|earth|ground|solid ground|terra firma|soil|dry ground|arid land|not water|dessert|dry earth|land without water|turf|surface|continent|not wet land|dry area|landlocked area|desert|dry terrain|island|shore line|high and dry|shore|dry dock|dessert land|cracked land|terrestrial|unfarmable land|not in water|on the ground|terrain|dry environment|dry habitat,1,train,generated
nc,eng,dry wall,wall,dry,,3.75,,,wallboard(4);plasterboard(3);plaster board(3);plaster wall(2);wall(2);stone wall(2);wall board(2);plaster(2);wall covering(1);cover(1);foundation(1);building material(1);building wall(1);dry sheet rock(1);concrete(1);insolation(1);putty(1);masonry(1);sheet rock(1);gypsum wall(1);sheetrock(1);gypsum(1),,26,,UNKNOWN,UNKNOWN,UNKNOWN,0.75,high,wallboard|drywall|dry-stone wall,wallboard|drywall|dry-stone wall,wallboard,drywall,wallboard,wallboard,wallboard|drywall|dry-stone wall|plasterboard|plaster board|plaster wall|wall|stone wall|wall board|plaster|wall covering|cover|foundation|building material|building wall|dry sheet rock|concrete|insolation|putty|masonry|sheet rock|gypsum wall|sheetrock|gypsum,1,dev,generated
nc,eng,dust storm,storm,dust,,4.1875,,,sand storm(6);sandstorm(4);dust cloud(4);dust bowl(2);dust devil(2);haboob(2);desert storm(1);blowing dirt(1);kicking up dust(1);sand flying(1);sand fog(1);tornadoe(1);flying debris(1);dust wind(1);dirty wind(1);strong winds(1);cyclone(1);simoom(1);duster(1);dust tornado(1),,27,,UNKNOWN,UNKNOWN,UNKNOWN,0.8375,high,duster|sandstorm|sirocco,duster|sandstorm|sirocco,duster,sandstorm,sandstorm,duster,duster|sandstorm|sirocco|sand storm|dust cloud|dust bowl|dust devil|haboob|desert storm|blowing dirt|kicking up dust|sand flying|sand fog|tornadoe|flying debris|dust wind|dirty wind|strong winds|cyclone|simoom|dust tornado,1,test,generated
nc,eng,eager beaver,beaver,eager,,0.1579,,,eager person(5);go getter(4);impatient person(2);enthusiastic person(2);excited(2);active person(1);busy bee(1);eager to do something(1);can't wait to do something(1);serious(1);dedicated(1);eager worker(1);good worker(1);fan(1);hardworking(1);interestd(1);hard hitter(1);busybody(1);overly zealous(1);very enthusiastic(1);impulsive(1);overly ready(1);helpfull person(1);doer(1);excited worker(1);person ready to do something(1);self starter(1);excited person(1);hard worker(1);enthusiastic(1);motivated person(1);someone who is excited(1);someone can't wait(1);anxious(1);well prepared(1),,28,,UNKNOWN,UNKNOWN,UNKNOWN,0.03158,low,busy bee|live wire|sharpie|sharpy|enthusiast|dynamo,busy bee|live wire|sharpie|sharpy,busy bee,enthusiast,dynamo,busy bee,busy bee|live wire|sharpie|sharpy|enthusiast|dynamo|eager person|go getter|impatient person|enthusiastic person|excited|active person|eager to do something|can't wait to do something|serious|dedicated|eager worker|good worker|fan|hardworking|interestd|hard hitter|busybody|overly zealous|very enthusiastic|impulsive|overly ready|helpfull person|doer|excited worker|person ready to do something|self starter|excited person|hard worker|enthusiastic|motivated person|someone who is excited|someone can't wait|anxious|well prepared,1,test,generated
nc,eng,economic aid,aid,economic,,4.4375,,,financial aid(6);money(4);economic assistance(2);welfare(2);monetary assistance(2);economic relief(1);monetary aid(1);money help(1);free money(1);foreign aid(1);economic support(1);economic incentives(1);stimulus(1);financial assistance(1);economic transaction(1);college tuition(1);financial support(1);economic help(1);financial help(1);monetary gift(1);distribution of cash(1);charity(1);help(1);funding(1);assistance(1);relief funds(1),,29,,UNKNOWN,UNKNOWN,UNKNOWN,0.8875,high,aid|financial aid|assistance,aid|financial aid,aid,assistance,assistance,aid,aid|financial aid|assistance|money|economic assistance|welfare|monetary assistance|economic relief|monetary aid|money help|free money|foreign aid|economic support|economic incentives|stimulus|financial assistance|economic transaction|college tuition|financial support|economic help|financial help|monetary gift|distribution of cash|charity|help|funding|relief funds,1,train,generated
nc,eng,elbow grease,grease,elbow,,0.4615,,,hard work(7);effort(5);work(2);strength(2);one's own sweat(1);man power(1);back into it(1);physical labor(1);extra effort(1);more work(1);force(1);brute force(1);hard manual labor(1);endurance and dilligence(1);application of force(1);physical effort(1);vigor(1),,30,,UNKNOWN,UNKNOWN,UNKNOWN,0.0923,low,effort|exertion|travail|sweat,effort|exertion|travail|sweat,effort,effort,effort,effort,effort|exertion|travail|sweat|hard work|work|strength|one's own sweat|man power|back into it|physical labor|extra effort|more work|force|brute force|hard manual labor|endurance and dilligence|application of force|physical effort|vigor,1,train,generated
