expression_key,lang_key,expression,lang,paraphrase_candidates_maggie,wordnet_synonyms,wordnet_synonym1,paraphrase1_gpt55pro20260423,paraphrase1_gpt5nano20250807
black operation,eng,black operation,eng,covert,,,covert,covert
blame game,eng,blame game,eng,recrimination|faultfinding,,,recrimination,faultfinding
blaze a trail,eng,blaze a trail,eng,pioneer,,,pioneer,pioneer
blind alley,eng,blind alley,eng,cul de sac|dead-end street|impasse|deadend,cul de sac|dead-end street|impasse,cul de sac,impasse,deadend
blood and guts,eng,blood and guts,eng,gore,,,gore,gore
blood bath,eng,blood bath,eng,massacre,,,massacre,massacre
blue blood,eng,blue blood,eng,aristocrat|patrician|nobility,aristocrat|patrician,aristocrat,nobility,nobility
blue print,eng,blue print,eng,plan,,,plan,plan
bode expiatório,pt,bode expiatório,pt,vítima|culpado,,,vítima,culpado
bon humeur,fr,bon humeur,fr,gaieté,,,gaieté,gaieté
bon poire,fr,bon poire,fr,naïf|dupe,,,naïf,dupe
bon pratique,fr,bon pratique,fr,usage|norme,,,usage,norme
bon sens,fr,bon sens,fr,sens|sens commun|raison,sens|sens commun,sens,raison,raison
bon vent,fr,bon vent,fr,adieu|chance,,,adieu,chance
bon vivant,fr,bon vivant,fr,fine gueule|friandise|gastronome|gourmand|gourmet|épicurien,fine gueule|friandise|gastronome|gourmand|gourmet|épicurien,fine gueule,épicurien,épicurien
bouc émissaire,fr,bouc émissaire,fr,victime,,,victime,victime
bow tie,eng,bow tie,eng,bow-tie|bowtie|necktie,bow-tie|bowtie,bow-tie,bowtie,necktie
box office,eng,box office,eng,ticket office|ticket booth|revenue,ticket office|ticket booth,ticket office,revenue,revenue
brain drain,eng,brain drain,eng,emigration,,,emigration,emigration
brain teaser,eng,brain teaser,eng,puzzle,,,puzzle,puzzle
bras cassé,fr,bras cassé,fr,incapable|maladroit,,,incapable,maladroit
bras droit,fr,bras droit,fr,grouillot|adjoint,grouillot,grouillot,adjoint,adjoint
brass ring,eng,brass ring,eng,prize,,,prize,prize
brazos abertos,gl,brazos abertos,gl,acollida,,,acollida,acollida
braço direito,pt,braço direito,pt,auxiliar|ajudante,,,auxiliar,ajudante
break someone's heart,eng,break someone's heart,eng,devastate|hurt,,,devastate,hurt
break the back of,eng,break the back of,eng,overcome,,,overcome,overcome
break the ice,eng,break the ice,eng,initiate,,,initiate,initiate
brebis galeux,fr,brebis galeux,fr,indésirable|paria,,,indésirable,paria
brick wall,eng,brick wall,eng,obstacle,,,obstacle,obstacle
bring home the bacon,eng,bring home the bacon,eng,succeed|win|come through|deliver the goods|provide|breadwinner,succeed|win|come through|deliver the goods|provide,succeed,provide,breadwinner
bull market,eng,bull market,eng,boom|uptrend,,,boom,uptrend
buraco negro,pt,buraco negro,pt,Buraco-negro|Buracos negros|sumidouro|vazio,Buraco-negro|Buracos negros,Buraco-negro,sumidouro,vazio
burato negro,gl,burato negro,gl,sumidoiro|buraco,,,sumidoiro,buraco
burst someone's bubble,eng,burst someone's bubble,eng,disillusion,,,disillusion,disillusion
bury the hatchet,eng,bury the hatchet,eng,reconcile,,,reconcile,reconcile
busy bee,eng,busy bee,eng,eager beaver|live wire|sharpie|sharpy|industrious|workaholic,eager beaver|live wire|sharpie|sharpy,eager beaver,industrious,workaholic
by the book,eng,by the book,eng,properly|strictly,,,properly,strictly
cable car,eng,cable car,eng,car|tram|gondola,car,car,tram,gondola
café colonial,pt,café colonial,pt,refeição|buffet,,,refeição,buffet
caixa forte,pt,caixa forte,pt,Caixaforte|caixa-forte|cofre,Caixaforte|caixa-forte,Caixaforte,cofre,cofre
caixa preto,pt,caixa preto,pt,mistério,,,mistério,mistério
caixa-forte,pt,caixa-forte,pt,cofre|Caixa forte|Caixaforte,cofre|Caixa forte|Caixaforte,cofre,cofre,cofre
caixa-preta,pt,caixa-preta,pt,mistério,,,mistério,mistério
caixeiro viajante,pt,caixeiro viajante,pt,vendedor,,,vendedor,vendedor
calendar month,eng,calendar month,eng,month,month,month,month,month
call a spade a spade,eng,call a spade a spade,eng,blunt|frankness,,,blunt,frankness
call centre,eng,call centre,eng,call center|helpdesk,call center,call center,helpdesk,helpdesk
camisa branca,gl,camisa branca,gl,camisa|prenda,,,camisa,prenda
cap in hand,eng,cap in hand,eng,humbly|begging,,,humbly,begging
car park,eng,car park,eng,parking lot|park|parking area|parking,parking lot|park|parking area,parking lot,parking,parking
carne branca,pt,carne branca,pt,frango,,,frango,frango
carne branco,pt,carne branco,pt,frango,,,frango,frango
carne vermelha,pt,carne vermelha,pt,bovina|carne,,,bovina,carne
carne vermelho,pt,carne vermelho,pt,bovina|carne,,,bovina,carne
carpet bombing,eng,carpet bombing,eng,area bombing|saturation bombing|carpet bomb|bombardment,area bombing|saturation bombing|carpet bomb,area bombing,bombardment,bombardment
carro forte,pt,carro forte,pt,blindado,,,blindado,blindado
carro-forte,pt,carro-forte,pt,blindado,,,blindado,blindado
carrot and stick,eng,carrot and stick,eng,incentives,,,incentives,incentives
carry the can,eng,carry the can,eng,accountable|blame,,,accountable,blame
carta aberta,pt,carta aberta,pt,manifesto,,,manifesto,manifesto
carta aberto,pt,carta aberto,pt,manifesto,,,manifesto,manifesto
carte blanc,fr,carte blanc,fr,liberté,,,liberté,liberté
carte bleu,fr,carte bleu,fr,CB|carte,,,CB,carte
carte gris,fr,carte gris,fr,immatriculation,,,immatriculation,immatriculation
carte vital,fr,carte vital,fr,sécu|assurance,,,sécu,assurance
carton plein,fr,carton plein,fr,triomphe|succès,,,triomphe,succès
casco antigo,gl,casco antigo,gl,centro|histórico,,,centro,histórico
case study,eng,case study,eng,analysis|example,,,analysis,example
cash cow,eng,cash cow,eng,moneymaker|money-spinner,moneymaker|money-spinner,moneymaker,moneymaker,moneymaker
casque bleu,fr,casque bleu,fr,pacificateur,,,pacificateur,pacificateur
cast the first stone,eng,cast the first stone,eng,criticize|condemn,,,criticize,condemn
cellular phone,eng,cellular phone,eng,cellular telephone|cellphone|cell|mobile phone,cellular telephone|cellphone|cell|mobile phone,cellular telephone,cellphone,cellphone
centre commercial,fr,centre commercial,fr,centre|centre d'achat|centre d'achats|place|winkelgalerij|mall|galerie,centre|centre d'achat|centre d'achats|place|winkelgalerij,centre,mall,galerie
centro comercial,pt,centro comercial,pt,Centros comerciais|Shopping Center|shopping,Centros comerciais|Shopping Center|shopping,Centros comerciais,shopping,shopping
centro espírita,pt,centro espírita,pt,templo|espiritismo,,,templo,espiritismo
centro neurálxico,gl,centro neurálxico,gl,núcleo,,,núcleo,núcleo
centros educativos,gl,centros educativos,gl,escolas,,,escolas,escolas
cerca viva,pt,cerca viva,pt,sebe|sebes|seto,sebe|sebes,sebe,sebe,seto
cerca vivo,pt,cerca vivo,pt,sebe,,,sebe,sebe
cercle vicieux,fr,cercle vicieux,fr,engrenage|spirale,,,engrenage,spirale
cerf volant,fr,cerf volant,fr,comète|cerfvolant,,,comète,cerfvolant
chain reaction,eng,chain reaction,eng,cascade,,,cascade,cascade
chambre froid,fr,chambre froid,fr,réfrigérateur|frigo,,,réfrigérateur,frigo
changement climatique,fr,changement climatique,fr,réchauffement,,,réchauffement,réchauffement
chapeau bas,fr,chapeau bas,fr,bravo|admiration,,,bravo,admiration
charge social,fr,charge social,fr,cotisation,,,cotisation,cotisation
chauve souris,fr,chauve souris,fr,chiroptère|mammifère,,,chiroptère,mammifère
cheat sheet,eng,cheat sheet,eng,crib,,,crib,crib
cheiro verde,pt,cheiro verde,pt,tempero|ervas,,,tempero,ervas
cheiro-verde,pt,cheiro-verde,pt,tempero|ervas,,,tempero,ervas
china clay,eng,china clay,eng,china stone|kaolin|kaoline|porcelain clay|terra alba,china stone|kaolin|kaoline|porcelain clay|terra alba,china stone,kaolin,kaolin
chute libre,fr,chute libre,fr,dégringolade|chute,,,dégringolade,chute
cidade vella,gl,cidade vella,gl,casco|antiga,,,casco,antiga
circle the wagons,eng,circle the wagons,eng,defend,,,defend,defend
circuito integrado,pt,circuito integrado,pt,CI|chip|microchip|Circuitos integrados,CI|chip|microchip|Circuitos integrados,CI,microchip,chip
civil marriage,eng,civil marriage,eng,marriage|legal,,,marriage,legal
clases altas,gl,clases altas,gl,elite|élite,,,elite,élite
classe executiva,pt,classe executiva,pt,executiva|luxo,,,executiva,luxo
classe executivo,pt,classe executivo,pt,executiva|elite,,,executiva,elite
clear the decks,eng,clear the decks,eng,prepare,,,prepare,prepare
climate change,eng,climate change,eng,global climate change|warming,global climate change,global climate change,warming,warming
close call,eng,close call,eng,close shave|squeak|squeaker|narrow escape|nearmiss,close shave|squeak|squeaker|narrow escape,close shave,squeaker,nearmiss
close to home,eng,close to home,eng,personal,,,personal,personal
closed book,eng,closed book,eng,mystery|enigma|secret,mystery|enigma|secret,mystery,mystery,enigma
cloud nine,eng,cloud nine,eng,bliss|blissfulness|seventh heaven|walking on air|euphoria|ecstatic,bliss|blissfulness|seventh heaven|walking on air,bliss,euphoria,ecstatic
club privé,fr,club privé,fr,cercle|exclusif,,,cercle,exclusif
cocktail dress,eng,cocktail dress,eng,sheath|dress|eveningwear,sheath,sheath,dress,eveningwear
cocoa butter,eng,cocoa butter,eng,fat,,,fat,fat
coffre fort,fr,coffre fort,fr,coffre|sécurité,,,coffre,sécurité
coluna social,pt,coluna social,pt,fofoca|sociedade,,,fofoca,sociedade
colégio militar,pt,colégio militar,pt,escola|academia,,,escola,academia
come in from the cold,eng,come in from the cold,eng,reintegrate,,,reintegrate,reintegrate
come with the territory,eng,come with the territory,eng,inevitable,,,inevitable,inevitable
comida caseira,pt,comida caseira,pt,caseira,,,caseira,caseira
comida caseiro,pt,comida caseiro,pt,caseira,,,caseira,caseira
communauté urbain,fr,communauté urbain,fr,agglomération,,,agglomération,agglomération
companhia aérea,pt,companhia aérea,pt,aerolinha|transportadora,,,aerolinha,transportadora
companhia aéreo,pt,companhia aéreo,pt,aerolinha,,,aerolinha,aerolinha
computer expert,eng,computer expert,eng,computer guru|techie|technologist,computer guru,computer guru,techie,technologist
computer program,eng,computer program,eng,program|programme|computer programme|software,program|programme|computer programme,program,software,software
con artist,eng,con artist,eng,confidence man|con man|swindler|fraudster,confidence man|con man,confidence man,swindler,fraudster
conseil municipal,fr,conseil municipal,fr,municipalité|élus,,,municipalité,élus
conta corrente,pt,conta corrente,pt,conta,,,conta,conta
conta-corrente,pt,conta-corrente,pt,conta,,,conta,conta
contact lens,eng,contact lens,eng,contact|lens,contact,contact,contact,lens
contact lenses,eng,contact lenses,eng,contact|contact lens|contacts,contact|contact lens,contact,contacts,contacts
cook the books,eng,cook the books,eng,falsify,,,falsify,falsify
cooking stove,eng,cooking stove,eng,stove|kitchen stove|range|kitchen range,stove|kitchen stove|range|kitchen range,stove,stove,stove
copy cat,eng,copy cat,eng,imitator,,,imitator,imitator
coração partido,pt,coração partido,pt,Síndrome do coração partido|amargura|desgosto|dor|pesar|tristeza,Síndrome do coração partido|amargura|desgosto|dor|pesar|tristeza,Síndrome do coração partido,desgosto,dor
corda bamba,pt,corda bamba,pt,instabilidade|precariedade,,,instabilidade,precariedade
corda bambo,pt,corda bambo,pt,instabilidade|precariedade,,,instabilidade,precariedade
corda vocal,pt,corda vocal,pt,prega|laringe,,,prega,laringe
cordas vocais,pt,cordas vocais,pt,glote|voz,,,glote,voz
cotton candy,eng,cotton candy,eng,spun sugar|candyfloss|fluff,spun sugar|candyfloss,spun sugar,candyfloss,fluff
couch potato,eng,couch potato,eng,idler|slacker,,,idler,slacker
coup dur,fr,coup dur,fr,revers,,,revers,revers
coup franc,fr,coup franc,fr,tir,,,tir,tir
courrier électronique,fr,courrier électronique,fr,courriel|mél|messagerie électronique,courriel|mél|messagerie électronique,courriel,courriel,courriel
court circuit,fr,court circuit,fr,dérivation|raccourci,,,dérivation,raccourci
court métrage,fr,court métrage,fr,court,,,court,court
crash and burn,eng,crash and burn,eng,fail,,,fail,fail
crash course,eng,crash course,eng,crash program|crash programme|primer|intensive,crash program|crash programme,crash program,primer,intensive
credit card,eng,credit card,eng,charge card|charge plate|plastic|financing,charge card|charge plate|plastic,charge card,plastic,financing
crime rate,eng,crime rate,eng,criminality,,,criminality,criminality
critical review,eng,critical review,eng,review|critique|review article,review|critique|review article,review,critique,critique
crocodile tear,eng,crocodile tear,eng,insincerity,,,insincerity,insincerity
crème frais,fr,crème frais,fr,crème|fraîche,,,crème,fraîche
crème glacé,fr,crème glacé,fr,glace,,,glace,glace
curto circuito,pt,curto circuito,pt,curto-circuito|pane|falha,curto-circuito,curto-circuito,pane,falha
curto-circuito,pt,curto-circuito,pt,Curto circuito|pane|falha,Curto circuito,Curto circuito,pane,falha
cut and dried,eng,cut and dried,eng,settled,,,settled,settled
cut and thrust,eng,cut and thrust,eng,sparring|debate,,,sparring,debate
cut both ways,eng,cut both ways,eng,ambivalent|twofold,,,ambivalent,twofold
cut from the same cloth,eng,cut from the same cloth,eng,alike,,,alike,alike
cut the mustard,eng,cut the mustard,eng,succeed|suffice,,,succeed,suffice
cutting edge,eng,cutting edge,eng,vanguard|forefront|knife edge|innovative,vanguard|forefront|knife edge,vanguard,forefront,innovative
câmara fria,pt,câmara fria,pt,frigorífico,,,frigorífico,frigorífico
câmara frio,pt,câmara frio,pt,frigorífico,,,frigorífico,frigorífico
céu aberto,pt,céu aberto,pt,descoberto|externo,,,descoberto,externo
círculo vicioso,pt,círculo vicioso,pt,ciclo|armadilha,,,ciclo,armadilha
círculo virtuoso,pt,círculo virtuoso,pt,progresso|crescimento,,,progresso,crescimento
damp squib,eng,damp squib,eng,anticlimax|dud,,,anticlimax,dud
dark horse,eng,dark horse,eng,outsider|underdog,,,outsider,underdog
day shift,eng,day shift,eng,day watch|dayshift|daytime,day watch,day watch,dayshift,daytime
dead and buried,eng,dead and buried,eng,defunct|finished,,,defunct,finished
dead end,eng,dead end,eng,cul|cul de sac|deadlock|impasse|stalemate|standstill,cul|cul de sac|deadlock|impasse|stalemate|standstill,cul,impasse,impasse
dead in the water,eng,dead in the water,eng,stalled|doomed,,,stalled,doomed
deputado federal,pt,deputado federal,pt,congressista|parlamentar,,,congressista,parlamentar
dernier cri,fr,dernier cri,fr,l'état de la technique|nec plus ultra|état de l'art|ultramoderne|mode,l'état de la technique|nec plus ultra|état de l'art,l'état de la technique,ultramoderne,mode
dernier mot,fr,dernier mot,fr,conclusion|ultime,,,conclusion,ultime
desfile militar,pt,desfile militar,pt,parada,,,parada,parada
diamond wedding,eng,diamond wedding,eng,diamond wedding anniversary|anniversary|jubilee,diamond wedding anniversary,diamond wedding anniversary,anniversary,jubilee
dig up dirt,eng,dig up dirt,eng,muckrake|expose,,,muckrake,expose
directeur général,fr,directeur général,fr,bourgmestre|gérant municipal|maire|syndic|dirigeant|PDG,bourgmestre|gérant municipal|maire|syndic,bourgmestre,dirigeant,PDG
direito humano,pt,direito humano,pt,direitos humanos|prerrogativa|dignidade,direitos humanos,direitos humanos,prerrogativa,dignidade
direitos humanos,pt,direitos humanos,pt,direito humano|direitos|liberdades,direito humano,direito humano,direitos,liberdades
dirty money,eng,dirty money,eng,loot|booty|pillage|plunder|prize|swag|illicit,loot|booty|pillage|plunder|prize|swag,loot,loot,illicit
dirty word,eng,dirty word,eng,obscenity|smut|vulgarism|filth|profanity,obscenity|smut|vulgarism|filth,obscenity,obscenity,profanity
disability insurance,eng,disability insurance,eng,coverage|protection,,,coverage,protection
disc jockey,eng,disc jockey,eng,disk jockey|dj|deejay,disk jockey|dj,disk jockey,deejay,deejay
disco rígido,pt,disco rígido,pt,Disco rigido|disco duro|HD|armazenamento,Disco rigido|disco duro,Disco rigido,HD,armazenamento
disco voador,pt,disco voador,pt,OVNI|Ufologia|Óvni,OVNI|Ufologia|Óvni,OVNI,ovni,OVNI
disque dur,fr,disque dur,fr,disque|stockage,disque,disque,stockage,stockage
divine service,eng,divine service,eng,service|religious service|worship,service|religious service,service,worship,worship
do someone proud,eng,do someone proud,eng,honor,,,honor,honor
do the right thing,eng,do the right thing,eng,behave|integrity,,,behave,integrity
don't hold your breath,eng,don't hold your breath,eng,unlikely,,,unlikely,unlikely
doom and gloom,eng,doom and gloom,eng,pessimism,,,pessimism,pessimism
double cross,eng,double cross,eng,double-crossing|betray|betrayal,double-crossing,double-crossing,betray,betrayal
double dutch,eng,double Dutch,eng,gibberish|nonsense,,,gibberish,gibberish|nonsense
double whammy,eng,double whammy,eng,setback|twofold,,,setback,twofold
douche froid,fr,douche froid,fr,déconvenue|déception,,,déconvenue,déception
down in the dumps,eng,down in the dumps,eng,depressed,,,depressed,depressed
down the drain,eng,down the drain,eng,wasted,,,wasted,wasted
down the road,eng,down the road,eng,later,,,later,later
down the tubes,eng,down the tubes,eng,ruined,,,ruined,ruined
down to the wire,eng,down to the wire,eng,close|eleventhhour,,,close,eleventhhour
draw a line in the sand,eng,draw a line in the sand,eng,limit|boundary,,,limit,boundary
dream ticket,eng,dream ticket,eng,ideal|opportunity,,,ideal,opportunity
droit fondamental,fr,droit fondamental,fr,liberté,,,liberté,liberté
drop the ball,eng,drop the ball,eng,sin|blunder|boob|goof|fail,sin|blunder|boob|goof,sin,fail,fail
dry land,eng,dry land,eng,land|earth|ground|solid ground|terra firma,land|earth|ground|solid ground|terra firma,land,land,land
dry wall,eng,dry wall,eng,wallboard|drywall|dry-stone wall,wallboard|drywall|dry-stone wall,wallboard,drywall,wallboard
dust storm,eng,dust storm,eng,duster|sandstorm|sirocco,duster|sandstorm|sirocco,duster,sandstorm,sandstorm
dutch courage,eng,Dutch courage,eng,confidence|bravado,,,confidence|bravado,bravado
dyed in the wool,eng,dyed in the wool,eng,inveterate|ingrained,,,inveterate,ingrained
développement économique,fr,développement économique,fr,croissance|progrès,,,croissance,progrès
días hábiles,gl,días hábiles,gl,laborables,,,laborables,laborables
eager beaver,eng,eager beaver,eng,busy bee|live wire|sharpie|sharpy|enthusiast|dynamo,busy bee|live wire|sharpie|sharpy,busy bee,enthusiast,dynamo
eat humble pie,eng,eat humble pie,eng,apologize,,,apologize,apologize
eat someone alive,eng,eat someone alive,eng,overwhelm|crush,,,overwhelm,crush
eau chaud,fr,eau chaud,fr,eau|chaud,,,eau,chaud
eau doux,fr,eau doux,fr,fraîche,,,,fraîche
eau fort,fr,eau fort,fr,gravure,,,gravure,gravure
eau minéral,fr,eau minéral,fr,minérale|boisson,,,minérale,boisson
eau potable,fr,eau potable,fr,buvable|potable,,,buvable,potable
eau usé,fr,eau usé,fr,effluent,,,effluent,effluent
eau vif,fr,eau vif,fr,courant,,,courant,courant
economic aid,eng,economic aid,eng,aid|financial aid|assistance,aid|financial aid,aid,assistance,assistance
efeito especial,pt,efeito especial,pt,Efeitos especiais|trucagem|artifício,Efeitos especiais,Efeitos especiais,trucagem,artifício
effet spécial,fr,effet spécial,fr,trucage,,,trucage,trucage
elbow grease,eng,elbow grease,eng,effort|exertion|travail|sweat,effort|exertion|travail|sweat,effort,effort,effort
elbow room,eng,elbow room,eng,room|way|space,room|way,room,space,space
elefante branco,pt,elefante branco,pt,estorvo|fardo,,,estorvo,fardo
end user,eng,end user,eng,consumer,,,consumer,consumer
enerxía limpa,gl,enerxía limpa,gl,renovable|renovables,,,renovable,renovables
engine room,eng,engine room,eng,engineering|powerhouse,engineering,engineering,powerhouse,powerhouse
entrance hall,eng,entrance hall,eng,anteroom|antechamber|hall|foyer|lobby|vestibule,anteroom|antechamber|hall|foyer|lobby|vestibule,anteroom,foyer,foyer
escada rolante,pt,escada rolante,pt,elevador|escalator,,,elevador,escalator
estrela cadente,pt,estrela cadente,pt,Meteoroide|Meteoróide|meteoro,Meteoroide|Meteoróide|meteoro,Meteoroide,meteoro,meteoro
