uid,target,sentence,reason
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:917,burst someone's bubble,"I hate to burst your royal bubble , Excellency , but I 'm free to come and go as I please . '",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:918,burst someone's bubble,So hopefully he 's going to burst West Ham 's pretty bubbles ?,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:919,burst someone's bubble,When he arrived back last night he was so happy about his love and wanting to marry Maria Luisa I could n't burst his bubble so soon .,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:925,pay the piper,"Unfortunately this has rebounded on local authorities since , operating under the principle of he who pays the piper calls the tune , Central Government has been able to impose severe restrictions on local authority spending , not only by curbing the total amount of the grant , but also by penalising local authorities who exceed targets imposed by the Central Government .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:928,in the hole,"But as he inspected the size of the Tories ' losses on May 6th even the home secretary , Kenneth Clarke , usually a man to find a silver lining in the blackest cloud , admitted that the government was in ' a dreadful hole ' .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:929,take the fall,"But , of course , it would be delightful if she took a fall .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:930,take the fall,The Volkswagen - Audi group took a heavy fall with sales down from 1194 to 6943 .,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:933,crash and burn,"And there is no end to this crash - and - burn surveillance strategy , owing to the nature of the information that is caught in the net .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:934,crash and burn,"Okidata Microsystems Division , the Japanese giant 's fledgling flight into the US workstation business , crashed and burned last week , taking the remnants of the Mass860 consortium — the Intel Corp i860 RISC supporters club — with it .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:937,dyed in the wool,"Sally quite enjoyed the visits but Paula had no patience for making conversation with Gran , who tended to have very old - fashioned , dyed - in - the - wool ideas and was easily shocked , and she hated having to eat her way through the ham salad and bread and butter , Victoria sponge and tinned fruit and cream which Gran not only laid on but also piled high on her plate because she thought Paula much too thin .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:938,take a bath,The honoured guest will doubtless not be encouraged to take a crowd bath .,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:939,take a bath,He was all set to take an early bath from his marriage to have an affair with soccer writer Suzannah Dwyer .,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:940,take a bath,KEWILL TAKES BATH ON GERMAN UNIT,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:941,follow in someone's footsteps,"Maxwell Shaw , born in 1890 , had followed in his father 's footsteps .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:942,follow in someone's footsteps,"When the politician died , everybody hoped the son would follow in his father 's footsteps .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:943,follow in someone's footsteps,Why do n't you follow in your workmate 's footsteps and find yourself a salaried job in London ? ',target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:944,behind someone's back,"He was going behind Vincent 's back with his ‘ hatred , grudges , chicanery , sarcasm’ .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:945,behind someone's back,There was a big rear - view mirror over the bar so he could see the glances being exchanged behind his back .,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:946,take the cake,"Maui was a little better — at least the interior decorator finished , even if it was in the worst possible taste , but the Seychelles took the cake.!.’",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:947,dig up dirt,Just imagine him saying that to a reporter trying to dig up more dirt … trying to stir it up a bit .,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:948,dig up dirt,He was enough of a prig to revel in disgracing any poor sod he dug up some real dirt about .,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:949,dig up dirt,This was interpreted in the Clinton camp as the Major government attempting to give Bush a hand by digging up dirt on Clinton as a Vietnam draft - dodger or pot - smoker .,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:950,in someone's pocket,"So — the taxmen argued — in the new system , tax due on interest payments in the gap from October 1985 to April 1986 would get stuck in the society 's pocket .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:951,in someone's pocket,We need interest rate cuts and we need them now in our pockets where we can feel them .,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:952,in someone's pocket,"Keeps Biff in his pocket , everybody knows that .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:953,pound the pavement,NOW pounding the pavements of Greenwich Village : the Pink Panthers .,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:954,drop the ball,"‘ Well , see , in the mid and late ' 70s I think the music industry dropped the ball , and I think that 's why there was rarely a good band in the ' 80s .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:958,break someone's heart,"In fact , as early as October 1 , when your ruler Neptune is challenged by Jupiter in Cancer , you will realise that money is really only half the battle or problem you 're facing this month — because someone appears to be breaking all the rules , if not breaking your heart .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:959,break someone's heart,"She wanted to turn tail and run and keep on running away from him , away from what she might discover , away from what could only break her heart , yet she knew that was impossible .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:960,break someone's heart,SUBSTITUTE John Crumplin broke non - League Woking 's hearts to snatch Brighton a money - spinning FA Cup third round clash with Portsmouth .,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:961,steal someone's thunder,"As expected ( UX No 386 ) , Olivetti used its event in Rome last week — see front page — to steal Pyramid Technology Corp 's thunder and introduce a 24-CPU version of the MIPS R3000-based LSX 6500 transaction processing systems which are rebadged MIServers from the Mountain View , California - based company .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:964,push the boat out,Sir James pushes the boat out for a double celebration,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:965,push the boat out,This is carried by a show of hands and the commodore pushes the boat out .,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:968,fly a kite,"I mean , she sort of flew the kite as it were with you know , if the wife was erm presumably the husband in other cases was mad beyond belief it was a good reason for casting her off .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:969,fly a kite,"‘ Well , I daresay it 's just me flying a kite , but the fact is Everett was too bloody inquisitive for his own good .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:971,fly off the handle,"I mean there 's been a couple of times that he 's really lost his temper with her and erm and , and really flown off the handle , badly .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:972,fire in the belly,You have got the fire in your belly that will make an excellent detective novel .,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:974,in the loop,"There are still many systems where the man is in the control loop , for example in vehicle driving and in most manufacturing production processes .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:975,in the loop,"Whether these findings were a result of stagnation of secretions with increased CCK release in the afferent jejunal loop , a changed alkaline gastric content , or both is unclear .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:976,cook the books,"This followed the publication of a book called Facing the Figures , by the Radical Statistics Health Group , and a television documentary , in the series ‘ Dispatches’ , which said the Government was ‘ cooking the books’ and misleading the public over issues such as unemployment , poverty and the health service .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:977,cook the books,"they 're saying that their fixing figures by not putting people on the waiting list so the waiting lists are shorter , because they 're putting , not , they 're saying that to people we ca n't treat you for about two years so I 'm not going to put you on the list at the moment , so they 're , cooking the books , that 's what they reckon",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:978,cook the books,"Now if there is no problem why on earth do we have to put that sort of that sort of work by officers erm , in , in to action erm , so between the , if I understand Labour 's position now Chairman , between the twenty fifth of August and the twenty eighth of September , we have now gone from accepting the problem and seeing how we can solve a number problem to saying that there is no no number problem and that everyone is cooking the books .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:979,force someone's hand,"But if either of them imagines they can force my hand , they much mistake the matter !",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:980,force someone's hand,"Somehow she doubted that he 'd now ever believe she was innocent of her father 's plans , and that , if her father was successful in forcing Ace 's hand , she would be the one who would suffer .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:983,have a heart,and I had n't the heart to tell,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:984,the ball is in someone's court,But the ball is in our court .,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:985,the ball is in someone's court,"Peter Cole , a solicitor acting for Edwards , said after yesterday 's hearing : ' I think the ball is essentially in Knighton 's court . '",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:986,in the driver's seat,"The pipeline has been established as a Russian - German - Dutch consortium , but it is the Russian energy giant Gazprom that is in the driver 's seat with 51 % of the shares .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:987,in the driver's seat,"The Belfast headmaster was highly popular , both with the players and with the media , but the Murphy appointment will mean a definite change of emphasis in the driver 's seat .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:989,up a tree,You 're the guy up the tree . ',target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:990,up a tree,"In this case , all deficiencies would be notified more sensibly up the tree from user to parent , and so on .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:991,pick someone's brain,"Yeah , cos I think Ann 's been two courses now and we 've picked her brains so we can have basic use , but er you start to realise it 's only a little bit of the system you know , you could do a lot more",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:992,fill someone's shoes,"And if you 're to try and fill her shoes , which I very much doubt you 'll ever do , but if you 're to be even half the woman that she was , may God have mercy on her , then you 'll need all the reminding I can give you.’",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:993,save someone's skin,"He is as intent as his father on saving his own skin , and just as inattentive to the possible consequences for his wife and for the purposes of God .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:994,save someone's skin,But the traditional banana - producing countries are banding together to save their skins .,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:995,don't hold your breath,"First , it says , America should forgo its short - term fiscal stimulus ( Congress seems happy to oblige on this ) and then implement medium - term budget cuts twice as big as those set out in Bill Clinton 's February plan ( do n't hold your breath ) .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:996,don't hold your breath,"‘ You 'll be able to work on your tan tomorrow , surf sweetie,’ she shouted after the Daughter , ‘ but do n't hold your breath waiting for the tide to come in.’",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:997,don't hold your breath,"I said do n't hold your breath Elaine but if it 's what I think 's in that carrier bag over there it ai n't a voucher , cos they all were saying",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1000,hit the bottle,Terry B says he did n't think he was hitting the bottle but there 's one side of you that takes over and he started to slide down hill … he became and realised it was time to get real with himself and he has n't had a drink since march,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1002,push someone's buttons,but that pushed Southend 's scoring button and they hit back with two more …,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1003,push someone's buttons,"‘ I realise your intentions are clean , but those words push my button ( for such and such a reason).’",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1005,separate the wheat from the chaff,"The process is a bit like winnowing , the old method of using the wind to separate wheat from chaff , except that in the case of pyroclastic material there is no simple division into light material ( husks ) and heavy ( grain ) but a continuous gradation in sizes ( and therefore weight ) of particles from fine to coarse .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1006,get under someone's skin,"Sorge was annoyed with himself , irritated that he had allowed the Intelligence man to get under his skin .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1007,get under someone's skin,"So , come on you literary types ; stop fretting about Orwell and start getting under our skins .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1008,get under someone's skin,Why was she allowing Doreen to get under her skin in this manner ?,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1010,break the back of,It would have been nice for him to wind things up by breaking the back of Britain 's opposition to integration .,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1011,break the back of,We broke the back of it a lot on the work that we did for Rickmansworth .,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1012,put words in someone's mouth,"He should not put words in my mouth , however , or make false assumptions .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1013,put words in someone's mouth,"well yes and therefore they wanted the appeal procedure , erm to make it fair I 'm not trying to put words in your mouth but that , term , to eradicate the possibility that someone could be able to exclude it from the market unjustifiably",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1014,put words in someone's mouth,"Well I would n't want to put words in Mrs. Thatcher 's mouth , now if you 're man enough to do that go ahead .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1017,pack a punch,Anne Packer packed a punch with Baked Beans .,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1018,eat someone alive,"First time I see him in his uniform , he looked that lovely I could 've eaten him alive .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1019,eat someone alive,"Little kids eat you alive , they want so much physically and emotionally.’",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1020,eat someone alive,"The Duke will bring a fine tail with him —‘The McLaggan women — do not mention them , they would eat you alive!’",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1021,hold someone's hand,She held her hands out for them to see .,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1022,hold someone's hand,"My big concern is that nine in one go all at the mini divisions and they 're all very much on their own out there , and there 's nobody to hold their hand through any for through the probationary period .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1023,hold someone's hand,A girl of seventeen should be able to go to the doctor 's without someone to hold her hand.’,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1024,come with the territory,It comes with the territory …,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1025,come with the territory,You need sunshine to ripen grapes and in England unpredicability comes with the territory .,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1026,the bee's knees,"Mary is fairly plain , but Tom thinks she 's the bee 's knees .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1027,the bee's knees,"And er he thought he was the bee 's knees you see , he thought he knew everything about railways .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1028,the bee's knees,"Not only is WinFax Pro the bee 's knees , it is n't expensive — you can get it for under £ 99 .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1029,get a rise out of,She riles you and enjoys getting a rise out of you .,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1030,do someone proud,"Martin Foyle what , out of the side for so long — bit of a gamble to bring him back in ; he did you proud .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1031,do someone proud,"Even in such exalted company , Rozhdestvensky holds his own ( although Szell 's breathtaking final coda to the Marche remains a uniquely compelling experience ) , and what a joy to hear a native Russian orchestra accorded engineering which for once does them proud !",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1032,do someone proud,SCOTLAND will bid to lift their third Triple Crown in nine years when they travel to Twickenham on Saturday week with the same line - up which did them proud in the 20 - 0 victory over Wales .,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1409,follow in someone's footsteps,The little boy was always eager to follow in his father's footsteps during their beach walks.,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1410,follow in someone's footsteps,"During the hike, she was careful to follow in her guide's footsteps to avoid stepping on dangerous plants.",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1411,follow in someone's footsteps,"As an astronaut, he had to follow in his commander's footsteps during their moon landing.",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1637,the ball is in someone's court,"During the tennis match, after a powerful serve, the ball was in his opponent's court.",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1638,the ball is in someone's court,"He kicked the soccer ball with great force, ensuring for a moment that the ball was in the other team's court.",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1655,fill someone's shoes,"As a prank, the kids decided to fill their father's shoes with whipped cream when he was not looking.",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1656,save someone's skin,"When the hiker got trapped under the rock, the rescue team managed to save his skin from getting severely injured.",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1657,save someone's skin,"Despite the blazing sun, her sunblock managed to save her skin from getting sunburned.",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1727,get under someone's skin,"The tiny splinter managed to get under his skin, causing immense discomfort.",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1728,get under someone's skin,The doctor had to remove the glass shard that had managed to get under her skin during her fall.,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1729,get under someone's skin,"The mosquito's stinger managed to get under his skin, injecting a dose of irritating enzymes.",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1817,eat someone alive,"In the heart of the jungle, he feared that a wild beast might eat him alive.",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1818,eat someone alive,"During their expedition in the dense forest, they were terrified that a pack of wolves would eat them alive.",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1819,eat someone alive,"In the horror movie, the deranged creature threatened to eat her alive.",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1860,hold someone's hand,"As they crossed the busy street, the mother had to hold her son's hand tightly.",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1862,hold someone's hand,He was so nervous on his first day of school that his father had to hold his hand as they walked in.,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:1891,do someone proud,"In the final match, John really did someone proud with his dedication and hard work.",target_span_not_found
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:0,Dutch_courage,We had to go down to the pub to get some Dutch courage!,target_span_not_found
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:1,Freudian_slip,Well it wasn't a mistake or a Freudian slip of the finger...y'see the Senators site is also supposedly using unlicenced software!,target_span_not_found
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:2,academy_award,Lardner shared an Academy Award for best original screenplay with Michael Kanin in 1942 for Woman of the Year,target_span_not_found
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:3,arcade_game,The monkey in the game is King Kong and it is another version of the classic arcade game Donkey Kong.,target_span_not_found
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:4,baby_blues,"While as many as 80 % of mothers experience a temporary and mild condition referred to as the baby blues, up to 15 % of women have the more severe reaction you're experiencing.",target_span_not_found
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:5,backroom_boy,There are lots of technical and scientific staff whom you never see who are deeply involved in your disease: they often get forgotten as ' backroom boys and girls ',target_span_not_found
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:6,bad_apple,"The problem for them, of course, is how to explain how these few bad apples managed to stay in place for so many years.",target_span_not_found
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:7,banana_republic,"The result is our roads are more congested than ever before; so congested, indeed, that we seem less like the world's fourth-largest economy and more like the most inept banana republic.",target_span_not_found
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:8,bankruptcy_proceeding,The official receivers costs take priority over sums due to a trustee in the bankruptcy proceedings.,target_span_not_found
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:9,basket_case,"Now Iraq is a basket case, the US is all but defeated by the resistance, and the threat of islamist terrorism is greater than ever.",target_span_not_found
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:10,beauty_sleep,"He obviously felt deprived of his beauty sleep, and had bags under his eyes.",target_span_not_found
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:11,best_man,All stories aside Neil is a great mate and it made me extremely proud to be asked to be his best man,target_span_not_found
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:12,big_cheese,We talk to the (normally reclusive) big cheese about his journey from stall owner to taking on the big guns at HMV.,target_span_not_found
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:13,big_picture,"Whilst we're relieved that this is the outcome of the Chancellor's deliberations over UK Sports' proposals, the Government also has to look at the bigger picture.",target_span_not_found
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:14,big_wig,"To secure promotion you have to impress your employers, the suits on high, the big wigs, and the fat cats.",target_span_not_found
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:15,biological_clock,"The biological clock ticks — but slowly It is not so bad to delay having a first baby until your thirties, according to Professor John Mirowsky.",target_span_not_found
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:16,black_box,Smart sensors are sold as black boxes despite the fact that their safety justification might require knowledge of their internal structure and development process.,target_span_not_found
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:17,black_operation,On the one hand the CIA acquired $4 billion for use in future black operations.,target_span_not_found
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:18,blind_alley,The science of economics has been led up a blind alley by theories that have made it seem increasingly remote and unreal to anyone outside the academic community.,target_span_not_found
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:19,blood_bath,"Is this the first blow in the upcoming civil war, and the blood bath which may follow?",target_span_not_found
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:20,blue_blood,"The Cloister attracted vacationing blue bloods, drawn by its old world ambience - the Coolidges, the Eisenhowers and Carters would come to play bingo in the lounge and dance the cha-cha in the ballroom.",target_span_not_found
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:21,blue_print,"Our free health check will give you the blue print to identify, select and measure the key metrics to enable you to better manage your service delivery.",target_span_not_found
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:22,box_office,"Arguably the King of Comedy for the last ten years, Jim Carrey is box office gold.",target_span_not_found
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:23,brain_drain,"This brain drain exacerbates the situation for those staying behind, as it leads to a loss of skills which are then not to be passed on to the next generation.",target_span_not_found
