text_id,text,lang,text_type
t00000162,more important things,eng,paraphrase
t00000163,bigger problems,eng,paraphrase
t00000164,big account,eng,paraphrase
t00000165,famous,eng,paraphrase
t00000166,person on renown,eng,paraphrase
t00000167,large figure,eng,paraphrase
t00000168,character,eng,paraphrase
t00000169,hot shot,eng,paraphrase
t00000170,boss,eng,paraphrase
t00000171,vip,eng,paraphrase
t00000172,whale,eng,paraphrase
t00000173,successful person,eng,paraphrase
t00000174,high ranking people,eng,paraphrase
t00000175,more important,eng,paraphrase
t00000176,more important person,eng,paraphrase
t00000177,big player,eng,paraphrase
t00000178,birth rate,eng,expression
t00000179,rate,eng,head
t00000180,birth,eng,modifier
t00000181,birthrate,eng,paraphrase
t00000182,fertility,eng,paraphrase
t00000183,fertility rate,eng,paraphrase
t00000184,natality,eng,paraphrase
t00000185,number of births,eng,paraphrase
t00000186,population rate,eng,paraphrase
t00000187,population,eng,paraphrase
t00000188,growth rate,eng,paraphrase
t00000189,rate of reproduction,eng,paraphrase
t00000190,babies born,eng,paraphrase
t00000191,units of birth,eng,paraphrase
t00000192,live births,eng,paraphrase
t00000193,number born,eng,paraphrase
t00000194,number of newborns,eng,paraphrase
t00000195,people born compared to people living,eng,paraphrase
t00000196,rate of children born,eng,paraphrase
t00000197,amount of people being born,eng,paraphrase
t00000198,re population,eng,paraphrase
t00000199,birthing rate,eng,paraphrase
t00000200,birth level,eng,paraphrase
t00000201,replacement rate,eng,paraphrase
t00000202,births per 100000,eng,paraphrase
t00000203,births per year,eng,paraphrase
t00000204,speed of birth,eng,paraphrase
t00000205,population increase,eng,paraphrase
t00000206,population multiplication level,eng,paraphrase
t00000207,incidence of birth,eng,paraphrase
t00000208,rate of population change,eng,paraphrase
t00000209,reproduction rate,eng,paraphrase
t00000210,viable pregnancies,eng,paraphrase
t00000211,population rate growth,eng,paraphrase
t00000212,new birth numbers,eng,paraphrase
t00000213,birth,eng,paraphrase
t00000214,rate of birth,eng,paraphrase
t00000215,birth speed,eng,paraphrase
t00000216,births,eng,paraphrase
t00000217,population growth,eng,paraphrase
t00000218,black cherry,eng,expression
t00000219,cherry,eng,head
t00000220,black,eng,modifier
t00000221,black cherry tree,eng,paraphrase
t00000222,rum cherry,eng,paraphrase
t00000223,Prunus serotina,eng,paraphrase
t00000224,sweet cherry,eng,paraphrase
t00000225,cherry,eng,paraphrase
t00000226,dark cherry,eng,paraphrase
t00000227,wild cherry,eng,paraphrase
t00000228,fruit,eng,paraphrase
t00000229,type of cherry,eng,paraphrase
t00000230,berry,eng,paraphrase
t00000231,fruit flavored,eng,paraphrase
t00000232,pitted fruit,eng,paraphrase
t00000233,purple cherry,eng,paraphrase
t00000234,black fruit,eng,paraphrase
t00000235,royal chery,eng,paraphrase
t00000236,ripe cherry,eng,paraphrase
t00000237,dark red cherry,eng,paraphrase
t00000238,small red pitted fruit,eng,paraphrase
t00000239,cherry flavor,eng,paraphrase
t00000240,rich cherry,eng,paraphrase
t00000241,mountain cherry,eng,paraphrase
t00000242,bow tie,eng,expression
t00000243,tie,eng,head
t00000244,bow,eng,modifier
t00000245,bow-tie,eng,paraphrase
t00000246,bowtie,eng,paraphrase
t00000247,necktie,eng,paraphrase
t00000248,tie,eng,paraphrase
t00000249,black tie,eng,paraphrase
t00000250,cravat,eng,paraphrase
t00000251,bow of cloth,eng,paraphrase
t00000252,tied bow,eng,paraphrase
t00000253,tied scarf,eng,paraphrase
t00000254,neck tie,eng,paraphrase
t00000255,neck garment,eng,paraphrase
t00000256,clothing accessory,eng,paraphrase
t00000257,cravate,eng,paraphrase
t00000258,knotted tie,eng,paraphrase
t00000259,white tie,eng,paraphrase
t00000260,bow,eng,paraphrase
t00000261,knot with two loops,eng,paraphrase
t00000262,ribbon of fabric,eng,paraphrase
t00000263,short tie in a bow,eng,paraphrase
t00000264,tie that doesn't hang,eng,paraphrase
t00000265,knot,eng,paraphrase
t00000266,bow knot tie,eng,paraphrase
t00000267,pin wheel tie,eng,paraphrase
t00000268,brain teaser,eng,expression
t00000269,teaser,eng,head
t00000270,brain,eng,modifier
t00000271,puzzle,eng,paraphrase
t00000272,riddle,eng,paraphrase
t00000273,logic puzzle,eng,paraphrase
t00000274,challenge,eng,paraphrase
t00000275,logic teaser,eng,paraphrase
t00000276,brain twister,eng,paraphrase
t00000277,thought provoker,eng,paraphrase
t00000278,hard problem,eng,paraphrase
t00000279,difficult solution,eng,paraphrase
t00000280,brain drainer,eng,paraphrase
t00000281,mind boggleing,eng,paraphrase
t00000282,hard puzzle,eng,paraphrase
t00000283,cant figure out.,eng,paraphrase
t00000284,mind boggle,eng,paraphrase
t00000285,education challenge,eng,paraphrase
t00000286,tricky problem,eng,paraphrase
t00000287,hard game,eng,paraphrase
t00000288,mind game,eng,paraphrase
t00000289,mind boggler,eng,paraphrase
t00000290,brain game,eng,paraphrase
t00000291,mystery,eng,paraphrase
t00000292,brain execise,eng,paraphrase
t00000293,mind bender,eng,paraphrase
t00000294,busy bee,eng,expression
t00000295,bee,eng,head
t00000296,busy,eng,modifier
t00000297,eager beaver,eng,paraphrase
t00000298,live wire,eng,paraphrase
t00000299,sharpie,eng,paraphrase
t00000300,sharpy,eng,paraphrase
t00000301,industrious,eng,paraphrase
t00000302,workaholic,eng,paraphrase
t00000303,go getter,eng,paraphrase
t00000304,busy person,eng,paraphrase
t00000305,busy body,eng,paraphrase
t00000306,busy beaver,eng,paraphrase
t00000307,hard worker,eng,paraphrase
t00000308,busy,eng,paraphrase
t00000309,doer,eng,paraphrase
t00000310,energetic person,eng,paraphrase
t00000311,always moving,eng,paraphrase
t00000312,occupied,eng,paraphrase
t00000313,tasked,eng,paraphrase
t00000314,busy worker,eng,paraphrase
t00000315,popular,eng,paraphrase
t00000316,drone,eng,paraphrase
t00000317,slave,eng,paraphrase
t00000318,hyper,eng,paraphrase
t00000319,busybody,eng,paraphrase
t00000320,always busy,eng,paraphrase
t00000321,industrious person,eng,paraphrase
t00000322,snoop,eng,paraphrase
t00000323,sociable person,eng,paraphrase
t00000324,nosy,eng,paraphrase
t00000325,hardworker,eng,paraphrase
t00000326,dynamo,eng,paraphrase
t00000327,active person,eng,paraphrase
t00000328,busy productive person,eng,paraphrase
t00000329,someone who moves around,eng,paraphrase
t00000330,being overactive,eng,paraphrase
t00000331,nonstop,eng,paraphrase
t00000332,preoccupied person,eng,paraphrase
t00000333,worker,eng,paraphrase
t00000334,carpet bombing,eng,expression
t00000335,bombing,eng,head
t00000336,carpet,eng,modifier
t00000337,area bombing,eng,paraphrase
t00000338,saturation bombing,eng,paraphrase
t00000339,carpet bomb,eng,paraphrase
t00000340,bombardment,eng,paraphrase
t00000341,blanket bombing,eng,paraphrase
t00000342,intense bombing,eng,paraphrase
t00000343,indiscriminate bombing,eng,paraphrase
t00000344,dense bombing,eng,paraphrase
t00000345,devastating attack,eng,paraphrase
t00000346,terrorist attack,eng,paraphrase
t00000347,missle raid,eng,paraphrase
t00000348,bomb drop,eng,paraphrase
t00000349,mass bombing,eng,paraphrase
t00000350,massive bombing,eng,paraphrase
t00000351,firestorm,eng,paraphrase
t00000352,airstrike,eng,paraphrase
t00000353,scattering,eng,paraphrase
t00000354,air strike,eng,paraphrase
t00000355,air support,eng,paraphrase
t00000356,complete destruction,eng,paraphrase
t00000357,total annihilation,eng,paraphrase
t00000358,non targeted bombing,eng,paraphrase
t00000359,continual bombing,eng,paraphrase
t00000360,aerial bombing,eng,paraphrase
t00000361,large bombing,eng,paraphrase
t00000362,air artillery,eng,paraphrase
t00000363,bomb dropping,eng,paraphrase
t00000364,bombing,eng,paraphrase
t00000365,thorough bombing,eng,paraphrase
t00000366,location bombing,eng,paraphrase
t00000367,cellular phone,eng,expression
t00000368,phone,eng,head
t00000369,cellular,eng,modifier
t00000370,cellular telephone,eng,paraphrase
t00000371,cellphone,eng,paraphrase
t00000372,cell,eng,paraphrase
t00000373,mobile phone,eng,paraphrase
t00000374,cell phone,eng,paraphrase
t00000375,smart phone,eng,paraphrase
t00000376,wireless phone,eng,paraphrase
t00000377,portable phone,eng,paraphrase
t00000378,individual phone,eng,paraphrase
t00000379,mobile device,eng,paraphrase
t00000380,electronic accessory,eng,paraphrase
t00000381,telephone,eng,paraphrase
t00000382,smartphone,eng,paraphrase
t00000383,iphone,eng,paraphrase
t00000384,phone,eng,paraphrase
t00000385,talking,eng,paraphrase
t00000386,texting,eng,paraphrase
t00000387,mobile,eng,paraphrase
t00000388,cellular device,eng,paraphrase
t00000389,close call,eng,expression
t00000390,call,eng,head
t00000391,close,eng,modifier
t00000392,close shave,eng,paraphrase
t00000393,squeak,eng,paraphrase
t00000394,squeaker,eng,paraphrase
t00000395,narrow escape,eng,paraphrase
t00000396,nearmiss,eng,paraphrase
t00000397,near miss,eng,paraphrase
t00000398,almost happened,eng,paraphrase
t00000399,near death,eng,paraphrase
t00000400,close,eng,paraphrase
t00000401,nearby,eng,paraphrase
t00000402,tight,eng,paraphrase
t00000403,cutting it close,eng,paraphrase
t00000404,almost happening,eng,paraphrase
t00000405,close to happening,eng,paraphrase
t00000406,narrow exscape,eng,paraphrase
t00000407,almost turned bad,eng,paraphrase
t00000408,accident,eng,paraphrase
t00000409,near death experience,eng,paraphrase
t00000410,immediate shave,eng,paraphrase
t00000411,close one,eng,paraphrase
t00000412,near squeak,eng,paraphrase
t00000413,tight squeeze,eng,paraphrase
t00000414,cliffhanger,eng,paraphrase
t00000415,wake up call,eng,paraphrase
t00000416,close escape,eng,paraphrase
t00000417,scary situation,eng,paraphrase
t00000418,hard to decide,eng,paraphrase
t00000419,near,eng,paraphrase
t00000420,closed book,eng,expression
t00000421,book,eng,head
t00000422,closed,eng,modifier
t00000423,enigma,eng,paraphrase
t00000424,secret,eng,paraphrase
t00000425,unknown,eng,paraphrase
t00000426,inaccessible,eng,paraphrase
t00000427,off limits,eng,paraphrase
t00000428,unattainable,eng,paraphrase
t00000429,not understandable,eng,paraphrase
t00000430,ignorance,eng,paraphrase
t00000431,no knowledge,eng,paraphrase
t00000432,closed case,eng,paraphrase
t00000433,done deal,eng,paraphrase
t00000434,unreadable,eng,paraphrase
t00000435,inscrutible,eng,paraphrase
t00000436,unfathomable,eng,paraphrase
t00000437,tough nut,eng,paraphrase
t00000438,tight lipped,eng,paraphrase
t00000439,solid case,eng,paraphrase
t00000440,impenetrable subject,eng,paraphrase
t00000441,closed minded,eng,paraphrase
t00000442,ignorant,eng,paraphrase
t00000443,unfamiliar,eng,paraphrase
t00000444,inaccessible subject,eng,paraphrase
t00000445,computer program,eng,expression
t00000446,program,eng,head
t00000447,computer,eng,modifier
t00000448,program,eng,paraphrase
t00000449,programme,eng,paraphrase
t00000450,computer programme,eng,paraphrase
t00000451,software,eng,paraphrase
t00000452,application,eng,paraphrase
t00000453,computer software,eng,paraphrase
t00000454,code,eng,paraphrase
t00000455,operating system,eng,paraphrase
t00000456,computer application,eng,paraphrase
t00000457,instructions,eng,paraphrase
t00000458,software program,eng,paraphrase
t00000459,hardware program,eng,paraphrase
t00000460,computer operating process,eng,paraphrase
t00000461,algorythm,eng,paraphrase
t00000462,system,eng,paraphrase
t00000463,patch,eng,paraphrase
t00000464,algorithm,eng,paraphrase
t00000465,command,eng,paraphrase
t00000466,digital code,eng,paraphrase
t00000467,executable file,eng,paraphrase
t00000468,computer codes,eng,paraphrase
t00000469,programmed to work a certain way,eng,paraphrase
t00000470,app,eng,paraphrase
t00000471,computer game,eng,paraphrase
t00000472,disk,eng,paraphrase
t00000473,con artist,eng,expression
t00000474,artist,eng,head
t00000475,con,eng,modifier
t00000476,confidence man,eng,paraphrase
t00000477,swindler,eng,paraphrase
t00000478,fraudster,eng,paraphrase
t00000479,scammer,eng,paraphrase
t00000480,thief,eng,paraphrase
t00000481,trickster,eng,paraphrase
t00000482,scam artist,eng,paraphrase
t00000483,liar,eng,paraphrase
t00000484,conman,eng,paraphrase
t00000485,great actor,eng,paraphrase
t00000486,manipulator,eng,paraphrase
t00000487,fraud,eng,paraphrase
t00000488,theif,eng,paraphrase
t00000489,forger,eng,paraphrase
t00000490,sting man,eng,paraphrase
t00000491,grifter,eng,paraphrase
t00000492,hustler,eng,paraphrase
t00000493,deceit artist,eng,paraphrase
t00000494,cooking stove,eng,expression
t00000495,stove,eng,head
t00000496,cooking,eng,modifier
t00000497,stove,eng,paraphrase
t00000498,kitchen stove,eng,paraphrase
t00000499,range,eng,paraphrase
t00000500,kitchen range,eng,paraphrase
t00000501,oven,eng,paraphrase
t00000502,cook top,eng,paraphrase
t00000503,electric stove,eng,paraphrase
t00000504,burners,eng,paraphrase
t00000505,cook stove,eng,paraphrase
t00000506,stove oven,eng,paraphrase
t00000507,cooking device,eng,paraphrase
t00000508,crock pot,eng,paraphrase
t00000509,stovetop,eng,paraphrase
t00000510,cooking top,eng,paraphrase
t00000511,stove top,eng,paraphrase
t00000512,gas stove,eng,paraphrase
t00000513,dutch oven,eng,paraphrase
t00000514,cooking oven,eng,paraphrase
t00000515,portable stove,eng,paraphrase
t00000516,kitchen cooktop,eng,paraphrase
t00000517,burner,eng,paraphrase
t00000518,cooker,eng,paraphrase
t00000519,cotton candy,eng,expression
t00000520,candy,eng,head
t00000521,cotton,eng,modifier
t00000522,spun sugar,eng,paraphrase
t00000523,candyfloss,eng,paraphrase
t00000524,fluff,eng,paraphrase
t00000525,candy floss,eng,paraphrase
t00000526,fairy floss,eng,paraphrase
t00000527,pink fluff,eng,paraphrase
t00000528,confection,eng,paraphrase
t00000529,fluffy candy,eng,paraphrase
t00000530,candy puff,eng,paraphrase
t00000531,sugar clouds.,eng,paraphrase
t00000532,fluffed sugar,eng,paraphrase
t00000533,sweets,eng,paraphrase
t00000534,treat,eng,paraphrase
t00000535,dessert,eng,paraphrase
t00000536,sugary food,eng,paraphrase
t00000537,confection treat,eng,paraphrase
t00000538,cloud candy,eng,paraphrase
t00000539,sugar on stick,eng,paraphrase
t00000540,simple treats,eng,paraphrase
t00000541,spun candy,eng,paraphrase
t00000542,cotton ball candy,eng,paraphrase
t00000543,sugary treat,eng,paraphrase
t00000544,soft candy,eng,paraphrase
t00000545,sugar wool,eng,paraphrase
t00000546,fluffy confection,eng,paraphrase
t00000547,cottony soft candy,eng,paraphrase
t00000548,critical review,eng,expression
t00000549,review,eng,head
t00000550,critical,eng,modifier
t00000551,review,eng,paraphrase
t00000552,critique,eng,paraphrase
t00000553,review article,eng,paraphrase
t00000554,critical analysis,eng,paraphrase
t00000555,thorough review,eng,paraphrase
t00000556,analysis,eng,paraphrase
t00000557,examination,eng,paraphrase
t00000558,important review,eng,paraphrase
t00000559,critical cover,eng,paraphrase
t00000560,critical judgment,eng,paraphrase
t00000561,text evaluation,eng,paraphrase
t00000562,grading,eng,paraphrase
t00000563,scholarly review,eng,paraphrase
t00000564,academic review,eng,paraphrase
t00000565,tough review,eng,paraphrase
t00000566,in depth look,eng,paraphrase
t00000567,critic's opinion,eng,paraphrase
t00000568,negative review,eng,paraphrase
t00000569,criticism,eng,paraphrase
t00000570,study review,eng,paraphrase
t00000571,thoughtful review,eng,paraphrase
t00000572,meaningful summary,eng,paraphrase
t00000573,peer review,eng,paraphrase
t00000574,assesment,eng,paraphrase
t00000575,intense scrutiny,eng,paraphrase
t00000576,critical assessment,eng,paraphrase
t00000577,analytical review,eng,paraphrase
t00000578,thorough assesment,eng,paraphrase
t00000579,take a close look at,eng,paraphrase
t00000580,report,eng,paraphrase
t00000581,dead end,eng,expression
t00000582,end,eng,head
t00000583,dead,eng,modifier
t00000584,cul,eng,paraphrase
t00000585,cul de sac,eng,paraphrase
t00000586,deadlock,eng,paraphrase
t00000587,impasse,eng,paraphrase
t00000588,stalemate,eng,paraphrase
t00000589,standstill,eng,paraphrase
t00000590,no outlet,eng,paraphrase
t00000591,blockage,eng,paraphrase
t00000592,end of the line,eng,paraphrase
t00000593,closed off,eng,paraphrase
t00000594,end of road,eng,paraphrase
t00000595,without an outlet,eng,paraphrase
t00000596,road with one end,eng,paraphrase
t00000597,one way road,eng,paraphrase
t00000598,no other street,eng,paraphrase
t00000599,end,eng,paraphrase
t00000600,street ends,eng,paraphrase
t00000601,blocked in,eng,paraphrase
t00000602,ending,eng,paraphrase
t00000603,road's end,eng,paraphrase
t00000604,one way,eng,paraphrase
t00000605,point of no return,eng,paraphrase
t00000606,checkmate,eng,paraphrase
t00000607,roadblock,eng,paraphrase
t00000608,blind alley,eng,paraphrase
t00000609,roads end,eng,paraphrase
t00000610,impenetrable,eng,paraphrase
t00000611,no access,eng,paraphrase
t00000612,road block,eng,paraphrase
t00000613,end of the road,eng,paraphrase
t00000614,road end,eng,paraphrase
t00000615,dud,eng,paraphrase
t00000616,dead lead,eng,paraphrase
t00000617,no exit,eng,paraphrase
t00000618,dirty money,eng,expression
t00000619,money,eng,head
t00000620,dirty,eng,modifier
t00000621,loot,eng,paraphrase
t00000622,booty,eng,paraphrase
t00000623,pillage,eng,paraphrase
t00000624,plunder,eng,paraphrase
t00000625,prize,eng,paraphrase
t00000626,swag,eng,paraphrase
t00000627,illicit,eng,paraphrase
t00000628,drug money,eng,paraphrase
t00000629,ill gotten gains,eng,paraphrase
t00000630,money obtained illegally,eng,paraphrase
t00000631,criminal money,eng,paraphrase
t00000632,stolen,eng,paraphrase
t00000633,stolen money,eng,paraphrase
t00000634,laundered money,eng,paraphrase
t00000635,illegal profit,eng,paraphrase
t00000636,crime money,eng,paraphrase
t00000637,criminally earned cash,eng,paraphrase
t00000638,illegally gained money,eng,paraphrase
t00000639,felonious profits,eng,paraphrase
t00000640,illegal money,eng,paraphrase
t00000641,hidden funds,eng,paraphrase
t00000642,illegal gains,eng,paraphrase
t00000643,ill got gains,eng,paraphrase
t00000644,money laundering,eng,paraphrase
t00000645,ponzi scheme,eng,paraphrase
t00000646,bad money,eng,paraphrase
t00000647,dirty funds,eng,paraphrase
t00000648,unlawful money,eng,paraphrase
t00000649,"dirty, as in tainted",eng,paraphrase
t00000650,bribe,eng,paraphrase
t00000651,pilfered funds,eng,paraphrase
t00000652,unethical money,eng,paraphrase
t00000653,ill gained,eng,paraphrase
t00000654,illegally earned tender,eng,paraphrase
t00000655,embezzled,eng,paraphrase
t00000656,unearned money,eng,paraphrase
t00000657,corrupt money,eng,paraphrase
t00000658,stolen property,eng,paraphrase
t00000659,earned illegally,eng,paraphrase
t00000660,counterfeit money,eng,paraphrase
t00000661,dirty word,eng,expression
t00000662,word,eng,head
t00000663,obscenity,eng,paraphrase
t00000664,smut,eng,paraphrase
t00000665,vulgarism,eng,paraphrase
t00000666,filth,eng,paraphrase
t00000667,profanity,eng,paraphrase
t00000668,curse word,eng,paraphrase
t00000669,bad word,eng,paraphrase
t00000670,cuss word,eng,paraphrase
t00000671,taboo,eng,paraphrase
t00000672,swear word,eng,paraphrase
t00000673,foul language,eng,paraphrase
t00000674,cursing,eng,paraphrase
t00000675,bad language,eng,paraphrase
t00000676,expletive,eng,paraphrase
t00000677,words not said,eng,paraphrase
t00000678,word you don't want to mention,eng,paraphrase
t00000679,gross word,eng,paraphrase
t00000680,insult,eng,paraphrase
t00000681,expletitive,eng,paraphrase
t00000682,curse,eng,paraphrase
t00000683,inappropriate language,eng,paraphrase
t00000684,gutter talk,eng,paraphrase
t00000685,bad words,eng,paraphrase
t00000686,swer word,eng,paraphrase
t00000687,taboo subject,eng,paraphrase
t00000688,unpleasant option,eng,paraphrase
t00000689,curse words,eng,paraphrase
t00000690,off limit word,eng,paraphrase
t00000691,unattractive word,eng,paraphrase
t00000692,profainity,eng,paraphrase
t00000693,obscene,eng,paraphrase
t00000694,bad worse,eng,paraphrase
t00000695,naughty word,eng,paraphrase
t00000696,inappropriate word,eng,paraphrase
t00000697,swear,eng,paraphrase
t00000698,disc jockey,eng,expression
t00000699,jockey,eng,head
t00000700,disc,eng,modifier
t00000701,disk jockey,eng,paraphrase
t00000702,dj,eng,paraphrase
t00000703,deejay,eng,paraphrase
t00000704,music player,eng,paraphrase
t00000705,entertainer,eng,paraphrase
t00000706,dee jay,eng,paraphrase
t00000707,disc scratcher,eng,paraphrase
t00000708,broadcaster,eng,paraphrase
t00000709,presenter,eng,paraphrase
t00000710,announces music played,eng,paraphrase
t00000711,music radio host,eng,paraphrase
t00000712,record player,eng,paraphrase
t00000713,music spinner,eng,paraphrase
t00000714,record spinner,eng,paraphrase
t00000715,artist,eng,paraphrase
t00000716,musician,eng,paraphrase
t00000717,person who plays music,eng,paraphrase
t00000718,mc,eng,paraphrase
t00000719,radio station employee,eng,paraphrase
t00000720,radio performer,eng,paraphrase
t00000721,disc spinner,eng,paraphrase
t00000722,party,eng,paraphrase
t00000723,music,eng,paraphrase
t00000724,spin doctor,eng,paraphrase
t00000725,mastet of ceremony,eng,paraphrase
t00000726,emcee,eng,paraphrase
t00000727,master of ceremonies,eng,paraphrase
t00000728,music host,eng,paraphrase
t00000729,music playing host,eng,paraphrase
t00000730,music mixing proffesional,eng,paraphrase
t00000731,host,eng,paraphrase
t00000732,dic spinner,eng,paraphrase
t00000733,music maker,eng,paraphrase
t00000734,divine service,eng,expression
t00000735,service,eng,head
t00000736,divine,eng,modifier
t00000737,service,eng,paraphrase
t00000738,religious service,eng,paraphrase
t00000739,worship,eng,paraphrase
t00000740,church service,eng,paraphrase
t00000741,eucharistic liturgy,eng,paraphrase
t00000742,divine calling,eng,paraphrase
t00000743,worship service,eng,paraphrase
t00000744,religious meeting,eng,paraphrase
t00000745,spiritual meeting,eng,paraphrase
t00000746,christian cult,eng,paraphrase
t00000747,serving of god,eng,paraphrase
t00000748,prayer service,eng,paraphrase
t00000749,church,eng,paraphrase
t00000750,ceremony,eng,paraphrase
